String,First,Last,
snxjqnf8ctcnvjknghxpkpbrt2,8,2,82
4qj2xtwoghknine,4,9,49
1zjfivegtwotqgndnineg,1,9,19
fjmmznxkrml7fiveninelfvkqtrg6,7,6,76
8xjlqgqj395nineninefive,8,5,85
dx47sixtwothdphj,4,2,42
fivesevenxgsfb235cvgmspdgg6,5,6,56
fivettfzvfg78dmzzdzcrt,5,8,58
fpnvxp1,1,1,11
seven24,7,4,74
1three8oneeight,1,8,18
7xglzsqrtb8fhgthmgdcdtwo,7,2,72
seven8gdtfgd4fivepdq,7,5,75
twosix1qtttvvstmqbrhh,2,1,21
ptwomnjhlzjjkztwo4kdkgxv,2,4,24
89zkvrhmrhdbmfourzdpss,8,4,84
bfdsvnxflgqxgpzkmrptlvmvlkchjxrt67,6,7,67
9mmhxsevennvvdngznine17twofive,9,5,95
lszmqdmxz87mqbv51,8,1,81
546sevenninencccndnr4,5,4,54
nineeightsqgrpkrqlmzrlxm6hxchcjspnx,9,6,96
8twoccdnbfive,8,5,85
1ks98,1,8,18
twothree6,2,6,26
twoxsixtqdpp6dcclzgfvkv1,2,1,21
16one7scvsgvmcdsixjtzszzrxdzzgv,1,6,16
bjxzdsixkvqgjfzbbjnrtn212jplvrj4,6,4,64
zb2three5cngqfczc1,2,1,21
5fnine99zxvfourjgmn,5,4,54
one634rteightfoureight1,1,1,11
76gvcdfourgtbzdlltzsjnxqg,7,4,74
ltmdrkqqnfour9eightpckdvbhlkvxlpdtp,4,8,48
6two5kgncpnzkdsgnpspb,6,5,65
three8vjninekbbnnfrdstprcmklrgpkfpmbs,3,9,39
ckvvqjqzbpfhf52fivefivefour,5,4,54
7ngxpdqptksix,7,6,76
ftp2eight,2,8,28
8lnmpbqldqstwo,8,2,82
threetwo153644,3,4,34
914,9,4,94
plxjdxghsix17,6,7,67
sevenonesevennine4three2seven,7,7,77
7bvdgpghzhpeight512vxbnfqjctb,7,2,72
xqptzkfive4xqbjzpqfkfspqv5kgqbdtfive,5,5,55
bmltkhjsckhrc7two8nzdpkjjpnfive,7,5,75
nnhppfvlhcmnmrjxhrbtzdflseventwojfprxmfn7,7,7,77
fournfdtjtsbthree54fpzsq,4,4,44
ninenineone5two,9,2,92
8694twomgxxzfxr6,8,6,86
sixeight75seventhreerpchfour8,6,8,68
llv5,5,5,55
skxcbfffgc6sixone,6,1,61
3lhjbzbsg4lsfgpkmcz7vjxzbrshbseven,3,7,37
4onecjlkpqdljd3five5,4,5,45
eighttwo2mvdtvqpnonetvphxsk8,8,8,88
15195one,1,1,11
kdx9nine6qrnqrjxq59,9,9,99
twolhjmbh4fivetwo6pdzbnzt,2,6,26
pbvfour7,4,7,47
tgxrsbk2,2,2,22
hfournineone58sixthree9,4,9,49
hmftwonesix5dhthkcnzqseventhreenineeightnine,2,9,29
9jmmjclsnsdhhj,9,9,99
hljjvctthreefourxsdlvsgtqj1335seven,3,7,37
172,1,2,12
2gbfpjff,2,2,22
five5sevengvddnphnine,5,9,59
sixeightfourssptsqlhzxonetfg2hkmrcpfzcz,6,2,62
94csjjgl42three,9,3,93
4bkxxv6,4,6,46
pgdgoneqmhxfpnfqkrbkjeightbmjjlrnsc5,1,5,15
nineninetwo55fvsxspzt,9,5,95
32jqffghbqvfmjtjone78,3,8,38
93eightfour6eight9eight1,9,1,91
768jrdmfxgxpntx8nhpljjdx,7,8,78
eight33zpvpggklseven4lcqsixthree,8,3,83
fourgrmone4,4,4,44
bcknine9qsevenrjhjeight,9,8,98
5onevqm,5,1,51
578mmqhhljtwo39mfnpmfqthree,5,3,53
fivecmts43eightfdphfivejsx,5,5,55
8vkqvl,8,8,88
8oneone27fourseventwo,8,2,82
jfsixfivethree3cmjtvkzhqkcksmljxxzbjd,6,3,63
three6sixpdvtrnrtffltrs,3,6,36
threeltvvfkcdqjtwo89two8j,3,8,38
5sixeightfivesixjjmknrgd1qpsbpjrffjl,5,1,51
eightrmgfkckxxxsvfclhtgcjthree3,8,3,83
rnfbp8eightjv35eight,8,8,88
2rrssqrfkvmq,2,2,22
dcmghdmg6threetzsdx,6,3,63
qzhfivefivejvbtncm2,5,2,52
gcspvjnsevenqhmkngfivesix15jtpk,7,5,75
bkmlmh5six1sixone2hgtlsix,5,6,56
8rmjshdhm681vc,8,1,81
sixtx32,6,2,62
7fourtwo6,7,6,76
xgrcxeightsevenzgmcllfjqn7,8,7,87
553fivethreefour8nine,5,9,59
one4mxbmct,1,4,14
three6ninetwofour,3,4,34
1bbbxqhhlmj651eightkfdqdgvh9three,1,3,13
4414,4,4,44
mnxsixone92,6,2,62
61six8,6,8,68
eight8mrcpfive1,8,1,81
crsvmfivezbkzkqsix7mxjdgtsqbfvdbnlqtfiveoneightgj,5,1,51
4dmzznftdbqj,4,4,44
seven25,7,5,75
fhlhpvphqvh8one1ffkq,8,1,81
mboneighteightonefive1ninenineninetwonine,1,9,19
82fiveonexc5,8,5,85
97qbhvbqnmxtlpczsx,9,7,97
nhgzzjkx5,5,5,55
hgxlrk9,9,9,99
8twonine9fivetdxmjqppxr,8,5,85
onethree99sevenfourkzvd2,1,2,12
sdqjfvbndzcthree1ftoneightkm,3,1,31
5rcllqcxt,5,5,55
threejdntvhsixsckfpndjzkeightsix3nlgpsvsfhk,3,3,33
94fctwoxmczbkz,9,2,92
4eight35tbqjxglldsevenxmthmmlhsix,4,6,46
three125,3,5,35
3njtlmxtbr4541ninedz7,3,7,37
9ptzpzqrjmxlrmbfbpn9ss4sqcprfmcqg,9,4,94
8dpmkdtvjxzjbddn7pvkxzskddrhcsjvthree7,8,7,87
xxshbfcmf3cfdkeight,3,8,38
six9ninefour472,6,2,62
fourrvxfmjzd4five,4,5,45
1fivesix,1,6,16
twonine3six9,2,9,29
nine8onethreethree,9,3,93
foureighttwotwo7onethree,4,3,43
9prtlnjptoneninefiveninefive,9,5,95
cljqxpthqzdxpmmbvpjljjxhlhsql8kztpthreesevenoneights,8,1,81
9sixtwonetfh,9,2,92
kscmxpcqlthrmthcdhplpnqlq2,2,2,22
fiveqjfvkmnineeightninefourtwo1,5,1,51
one5sixeightfxkshmninethreeeight,1,8,18
4nine4,4,4,44
27,2,7,27
ggtz73sixkgsjrtcxkb1,7,1,71
qvxsgvrpbxqcgpb2fzmcvknkr99seven,2,7,27
6eight8ksgdlxj638fivetcgb,6,5,65
mmvc3fourrvbztjchbmqtxtgfrrqphninefive1,3,1,31
3qzbzxsevenfivegrvtbckqcj,3,5,35
eighttwokzpgl2hrvqlhkthreenine4,8,4,84
8twoeighteightxtsbrseven,8,7,87
nine5mghp7vpnvtpx2c,9,2,92
hkxkmx5qnpjhtdfjfsix2xqqplvm5gmvjm,5,5,55
69cgvzhvgjvl8,6,8,68
threeblzj6three,3,3,33
3bxpmnfbtpk5hcgqkbkqblznxgsdvklmtmqjxsxdcgqvmsprxrrnfchfbnd,3,5,35
1fbrrcjgzzllmcbdrgmrcfsevenh,1,7,17
58onezbp,5,1,51
1bqfkmkk46cctvmstvhvrtwoone,1,1,11
mmeightwo9sbjvleightdsevenseven,8,7,87
9gdsqgflkvonetwo,9,2,92
3lgpmxdgjtzx3two5foursixeightwomb,3,8,38
dbkbeightfive9eighthxngnrbmp,8,8,88
2cpkxggtrdsrh,2,2,22
zsgcdcrlhlqdpone9eight17sixbbtzpmdf,1,6,16
5rskkplgsbl9qqzfrzh67four4,5,4,54
nine856threezgbhrzjcfour,9,4,94
kqnnine87lflxddvtfb9lfjdknvgl8,9,8,98
fsgtwo8zxvnfour7xxfnmqpzhzone4,2,4,24
ddd9sixnsrpqmvvjh2xghxhm,9,2,92
836,8,6,86
nxglt36ljcbvgc16hxcbtqjz,3,6,36
nine19fourhnvh7fgqklf11,9,1,91
jkvsphrpmhbnfl2nhcflhsbks4,2,4,24
7nine2dsgkmrzlrzptfpk672,7,2,72
6vtmztrjdrbk,6,6,66
4vgsshzzsrtwo,4,2,42
ninexfjcxdcnxs7seventhree2,9,2,92
hsvvqcqp97twommjjlclbtdjbxkveightwos,9,8,98
threedlcvvseven3,3,3,33
366xqfbhzfmqknine7,3,7,37
jzrqqfouronehhrmkg4one5,4,5,45
8xcbccrp141kmcsrdlgcdzpcb1nine,8,9,89
59rdrphcgk,5,9,59
fivetwoqmlk22eightfive,5,5,55
qnsphtvfourtwojljxnvgrkk3slv6four,4,4,44
13dfbnfnpsevennqtjthreethree6,1,6,16
4dtncvsix34oneeighthpfouroneightv,4,1,41
xdhqninefive88nine,9,9,99
6hnnl8nineonehm7four,6,4,64
sevenfournine8five2six,7,6,76
vnczlzjqdtmdgsgxch94one3knlxjvqtrjlsx2,9,2,92
twoeight14kkzrsqmgkhjb,2,4,24
jhqrzxrhskngj9ninenjcnbdtjhjtdh,9,9,99
2grrlxnlvthreernfghspmc,2,3,23
two8hjbsevenfive5threenpgtnkftp,2,3,23
d8sixfive1five7,8,7,87
sixthree9,6,9,69
sixspqf2gptcsrvlln9,6,9,69
seven8nine,7,9,79
nqeightwo7svvjqs75qgp3hpvn,8,3,83
qrsixxffsdvvrf74five3,6,3,63
5threeskqgcgprrjmcxksixtwo969,5,9,59
bdbtlvlseven13fh,7,3,73
2two1eightfour7jqdd,2,7,27
three8ninefournffzbnbhkpjqh32,3,2,32
sixqzmhnjttdnine41sevenpcxqkvr,6,7,67
fivenine2fourseven2,5,2,52
sixjjhrjbmvvngqd3three7ninekpneight,6,8,68
11lttrkpcljbbrmponeightbb,1,1,11
frxgkvgrjtsix84,6,4,64
76eightonesix8fivenlfhkfgp,7,5,75
fourpqlrklpnfljvpfkdklkgrjp1ninevfour,4,4,44
1six75tr1,1,1,11
cjdvxhmjvstninejccxrqhb1qkpmnzx8xfpp,9,8,98
8sixfourone6pzlnczvlsmmp,8,6,86
eightrkl37jqlvjjsbrtqsix6,8,6,86
onesmrjvmrtlppm69857seven,1,7,17
4rgsktnbone8sjxjzbrplnmfvkknpxqv,4,8,48
tfteightwonsdffone8sixxdpeightseven,8,7,87
639one2two,6,2,62
smk55,5,5,55
6cjbckhbtmkcgrvmp3,6,3,63
rdnf9,9,9,99
1jjkdspeighthteight37,1,7,17
1gh3dcmhx4sixnphphhbpninevbqhs,1,9,19
vpstbqtdmbvk9jstvtgzrdl,9,9,99
91seventwo,9,2,92
7sdpflkxfzfivethreenine,7,9,79
gvgcrpphhbzghtbcv6,6,6,66
vvnine5ddgzroneone,9,1,91
5four6684one,5,1,51
dmspptjjtwocr2one,2,1,21
sixftzx6fdsfv,6,6,66
5six8twotccbsdnpxg32tsix,5,6,56
mfkdbdfournktdmgqnt4vqkzbzonekdqhbcmfgfiveone,4,1,41
nine2476,9,6,96
8rxd2eightninefourmd,8,4,84
eight1hqfcqs4cpvpsqjfhptwo6six,8,6,86
5z,5,5,55
bqcj948nine6xmgnxmxnn,9,6,96
two1lzdv65bhllvrc,2,5,25
sevenvjkl3ninespltvdszvnfvzpcvrctphvp49,7,9,79
4mzjxftf5eight,4,8,48
fivehbrxcbgjhhxpzfn5lllsknk7six,5,6,56
6n5ttwo166,6,6,66
fqdfhc3,3,3,33
6cph,6,6,66
lzqqvnlkjv3sevenbdssvckmdm,3,7,37
bbdpgpfsevenvzsix87,7,7,77
754sznxkfb4npmjbv4one,7,1,71
twothree984dsxsninefour,2,4,24
kmpjgh71jhfrjgrpbd2d7,7,7,77
27tgptfvcjnk2,2,2,22
onefive497cdcktxcjfivezdrdhczbp,1,5,15
79176threeseven1,7,1,71
csseven1rmlbcpct,7,1,71
1lzlz4tsngmgh,1,4,14
zvxshddzg2eightpxkzfnvdfzeightseven,2,7,27
ninesixnine93seven8,9,8,98
1twofiveeightmfour,1,4,14
six3cmbbbxbqr74flchvgjbr45,6,5,65
7nine31two9dvsghkrjj,7,9,79
five5four,5,4,54
seveneightthreefourseventrgxdqclq2,7,2,72
5dfgddsevenldmzckmvxjmk92fourdcpfgcrpd,5,4,54
ninekbhrflzmgp3lqgxgszmzvndr47zcllcfg,9,7,97
sqsixonefivekfvbfh66p,6,6,66
bssrkdrrgsftlqjdz19,1,9,19
bqcbhfive6,5,6,56
jt3fivemdrnrvngsb1seven5,3,5,35
svdninesbj11eight,9,8,98
2phltdc,2,2,22
1469sevenvksvlthqskfkx9,1,9,19
7fcfivefourdbbvtnjbrc,7,4,74
6seven4,6,4,64
lrmfqtjkzfive69eight8,5,8,58
zmngmr9ninenineninesh,9,9,99
qrxvdxgtfour7one6,4,6,46
eightmjpkgdtrp52shpcrtb,8,2,82
54k7fournine,5,9,59
7fdbshl6874,7,4,74
jfjvrhccqrc1fourcrg96,1,6,16
1sevenncqhkgtzmtncmxhflmfsxfsmsmqh,1,7,17
79fourjmxfdbqnrsr,7,4,74
sjthree6tcbp3x,3,3,33
qvrzmdzfnpkkdcvone2lttcbzhhddbnlnhxgsblhtlvdcpnzjvvqszrthree,1,3,13
ninedfxcz63two515,9,5,95
48sevenvgznbsxzhfgzq19,4,9,49
dxjbtzvtfn3five3,3,3,33
five1gxfcfppffg74,5,4,54
78ncrnhmv766nine,7,9,79
two7qmgeightjhddgnineone,2,1,21
jhttksbpbhzmgglfour7,4,7,47
bloneight3ckvpkxtwozzxr1onethree,1,3,13
mhmppdtvfonecrjzlktlnkpzdbqtvtwo4,1,4,14
179tjchxninethreesix,1,6,16
dpcfnsftnjbhlpcjrc8pbnnhtlrjzmmjk,8,8,88
ninebn16one2crfour,9,4,94
mfivesix8nine1zgpqpr,5,1,51
eight44fourfivegfive,8,5,85
2qhsltnzsfivervftmdm1hthcml,2,1,21
sjoneightvrxctb9sixhkhmfivejm,1,5,15
7threehdctsfqflggzkhpn,7,3,73
seightfourkhpkprrcl6six,8,6,86
fourkdff7,4,7,47
57seven3four1r1gcjtckvn,5,1,51
gmfdzgv7fivesix4nvlq3,7,3,73
thp7,7,7,77
xd5plhtvtgxmgkmhlr5nine,5,9,59
7fourdf,7,4,74
pnkjgdctpm2221four8pvnhxdtrvs,2,8,28
hngtq27nineninesixeight,2,8,28
2fivejpfbsqtx1fourseven,2,7,27
19jpjsbljgz,1,9,19
ninethree5twoeighttwoqponefive,9,5,95
gklmbcj5mstwo8,5,8,58
phbeightwo31jjzltcqzhklm26,8,6,86
jtslpzsxh43,4,3,43
drk7,7,7,77
5dxcsvgqkmz,5,5,55
jnrgv9,9,9,99
nsttntwo6,2,6,26
6qbfrlcfmmnqpmbbtqgdsjqndqfive,6,5,65
2mgdjlpdsixfive6,2,6,26
sevenfivesix6,7,6,76
3nrfvb13onebsrclqnflppzchtp21,3,1,31
dmpgdvfive7,5,7,57
lpvqjzhvjoneghqxnvsixjxflzqj4,1,4,14
onegqzxvnnfnlcffour2,1,2,12
nsglbskbzd2drjzqhnq,2,2,22
nine8seven,9,7,97
rfspthhjbh92rseven1,9,1,91
nine2ctjnb,9,2,92
gzkgvtxjt8twoonefour,8,4,84
tplxnlr8bfjklthree,8,3,83
jqrxrtdvmj8fournmj,8,4,84
6gxvglbcqkdsdcsl,6,6,66
pzjk9ccbmkzmtsf,9,9,99
qdzpknfhbsixczkrqbpfour76sevensbvltnjccjllng,6,7,67
six1zrhqxzfivetwo,6,2,62
xjhmfkvjgxtbgszmpd54jbsscgrninethree,5,3,53
cndbtlq22,2,2,22
fouronesevenzrrv7mhsvjtwokqbfvvrs5,4,5,45
twoonefive59phkxdbndgch5seven,2,7,27
8twoninethreeckdkd5,8,5,85
9four6jfxnfgjvcrszrpsrkhh,9,6,96
993psn4qdldmfnqsix4,9,4,94
42tzxknj,4,2,42
vvzpl8six,8,6,86
8vpchdjxczsvjjqljnmpdeightone2seven,8,7,87
fivenine51sixcdb,5,6,56
dfkkvsone5kjzvqqc,1,5,15
8seven8pxtrdrkqcqhdklgsixzxtjmtblzzcc,8,6,86
ddvzsqnxd9xscsix4rvpsix,9,6,96
75nsvxf9one88,7,8,78
38ninetmmqx2,3,2,32
sxjqgrdthree2vhpgrcdtqeight,3,8,38
63kthndjc,6,3,63
qgbdkfm56two6fourthree5,5,5,55
five79,5,9,59
jpb2seven7one7,2,7,27
four5sbgbpzkjjkjhsvgksgjvfrsbpbdzgd2,4,2,42
xlxpsixninextzlpbn6,6,6,66
jzbvzlflf8twoeight,8,8,88
4vjtr6eightninenjtvt,4,9,49
3twonine3vmrgkjzkpfoursixtbcktpn,3,6,36
six1fourbfhxlntrqfxxztmj4,6,4,64
jrbhfourfour6jspsxkn2eight5four,4,4,44
pcvjmdlnf15cfghpszt9,1,9,19
4lxktgpvvq1sevenone9,4,9,49
twosixhllhbxkbd2three,2,3,23
veightwo3eightvrhseven89onelxvhqxkhm,8,1,81
2sixfkdpcjcgcbgfzlbgblj,2,6,26
457jtmdfdjcnine,4,9,49
three64,3,4,34
pqgjfseven4sevenoneslgeight,7,8,78
91vcptwo1twonineone,9,1,91
seven63fourzjpdmk1,7,1,71
8fivetwofrbtm6f9five,8,5,85
sevenchrtbctkgpnine65fourbhpqnchhlz6,7,6,76
rkdqrbtdbj9bt41hklvlrbrcpx,9,1,91
1three1gmdeighteightqbgsevenhljbpzbdtt,1,7,17
srkbbkfcznine6nine6,9,6,96
8kmzbjzsxtgr9drtbdl,8,9,89
24six412smjfxscst,2,2,22
9cktpshfdr5djvrngchrh176,9,6,96
2mjknvteightmvsdgt8seventhree3mzfk,2,3,23
vhldtk27two,2,2,22
6three2ninepqnine,6,9,69
2fourzbtqnclrtpsix2six94,2,4,24
six6five,6,5,65
one2eightppzmczmgsixnine,1,9,19
15qljk7vchkfcfhkhmbjlkcfour,1,4,14
99four,9,4,94
dhrgkkbrnczkdt3n,3,3,33
89211sevenhnbjbrxtk,8,7,87
663rrbpnrknine911nine,6,9,69
2ntffsix9,2,9,29
4mdpcrvqfoursixqeight,4,8,48
jbjjqkfive3jqnqhvkmtbddrdqxseven,5,7,57
2gvrgdsxptwovfkpgdlmlhz34,2,4,24
rqfrx82,8,2,82
tworzlxeight66eight1five,2,5,25
md1jgknfftttjbjz,1,1,11
tctqctkone37cmpbslgpzh3,1,3,13
3sixsixfpxg,3,6,36
seven6bld42brzxr,7,2,72
6two4seven9zpgb5,6,5,65
nine13,9,3,93
d68,6,8,68
3lxvsgksbbtwo52eight3three8,3,8,38
bpltlnlzc8,8,8,88
seven2five1threedmkg,7,3,73
hpkvhlkhknhjpq9tgpmnndgtlqjx1vkdkvtqhtwodrbr,9,2,92
fourfivesxgpxhdvts7four5,4,5,45
7frgrjkkrb1,7,1,71
2threettvptwobjhmxvpsvmljtvnpkpsvr,2,2,22
9fivelxtcbbn9xgtwohmmhnfhcknc,9,2,92
fourqztfvd6gkhxnstjjxnbl69hzkghsjrd,4,9,49
pspgqcjfcqdgq6xsgxrls,6,6,66
threesix6lrfkmvjdfivetwo9,3,9,39
kdjgpj54,5,4,54
oneeightsevenfive1,1,1,11
one4onefournine64,1,4,14
45hhcpntsthreezl9hjdnnine,4,9,49
17ninenineninegczplbj81,1,1,11
31threetwosevencphdv,3,7,37
5eightvsrzjmdbtqhhqtjfjrhllhbgzgzjzvdhddstxpp4,5,4,54
pgghlbtsevenqxxjbnd14onetwo,7,2,72
3ljgmcxnqgxcrfourfourtworjtwo,3,2,32
eightseventhree59,8,9,89
3nhsccljtzszftnqtfour5,3,5,35
threefourthreeone3five,3,5,35
3pzgzjv7tz,3,7,37
qxgntksdr45tvnxfcjdnn,4,5,45
5seven9threejdzrzdfcpgbnhrrmfkkskg2two,5,2,52
38bjnlcjbeightfivefourqvtbvjsb9nine,3,9,39
nmxqtzlpfngzlsnl9,9,9,99
9eight8five3two1gsknxznbf9,9,9,99
518jkqmprjlqcpdthreefive16,5,6,56
6lzjznblrj3three,6,3,63
f7blbxznlvgk,7,7,77
37jtlrvlzhzronehn,3,1,31
kpckhlcsbeight6,8,6,86
8dfptmfourtwoeightfoursixonefive,8,5,85
ninecdrxlgdkm7nineseventwotbbcgninekbxssd,9,9,99
rrhkgmnsbxbhb2ccnncrbstjfbmnlbxsxbkr,2,2,22
cflrvjtdsevenfivefive3sevensixeightseven,7,7,77
41ninenrznrcpdqhxfglb,4,9,49
gffivesixtqbbmzllvbnjnk2fivesix,5,6,56
eight311seven,8,7,87
52mpqbgktxhs359btkzqdfzvtrzmltxt,5,9,59
onegxnk2rvnmdcmqvqvgkml34,1,4,14
gfzeightwoeightrbvknvpt7,8,7,87
1ct2,1,2,12
zctqtxtgseven66zhslvvdninetwo,7,2,72
54sixbfn8mxfkthf5,5,5,55
9974seven9dclxbmfive,9,5,95
onefour6mjtssrxjjsleight2foureight,1,8,18
818sixsmmzsvbpl9two,8,2,82
rjqnpzlp83qxlj,8,3,83
sxqztv22,2,2,22
8tsvhfszvj,8,8,88
one5mninefour68,1,8,18
three7threeone,3,1,31
sevencnq2jdjvmlh5mqnnnrsqgppkfxjfjsevendrq,7,7,77
8zmxbvgschsqxbk5lltxpseventhreevrhsvdkk,8,3,83
seven2ngbqlxkjl27eighttjprz,7,8,78
ccfskxtnqpqninevczrltkg18hmgjmqt,9,8,98
npgtv4nine5lnqvglvdrxvqmc,4,5,45
kvg4zrtpxnknbone,4,1,41
threeeight1tsdcthree5zxrshttlsmseven9,3,9,39
35448284,3,4,34
6fiveqplkfftsj,6,5,65
pldmrjhzhfiverlgntcckbqzjgth4gfddcrz,5,4,54
6fivesix2,6,2,62
eightksz6m6pneightnvpvvx,8,8,88
1fourbqxtmbvzsfnrxqmvlbfzvdthree,1,3,13
two43sixthree5one,2,1,21
cqf2,2,2,22
twoltseven8three64,2,4,24
6fourprlhcc,6,4,64
fgqoneightsevenqthreebksixgdqt93dm,1,3,13
xjczd3sixseven5,3,5,35
kfzgshnxqnptrckbrt2,2,2,22
fourrrdcl624,4,4,44
kvhfqspcpsxndjqlonesixthree24kdmqvone,1,1,11
8eightfivetwo,8,2,82
onesevenseven5fourlrkkqtfkrmdlsmd,1,4,14
jffvtzkbjnkdtvfsfthree431lrpgmtv,3,1,31
bbvsptrzbone4tfnpgrfourvsix,1,6,16
4seventhreekmxsz335eight,4,8,48
eightbrcv5,8,5,85
two2eightbppsplzgcfournine5seven,2,7,27
fourthree5kcdhqzeighteightkbzszgv8nine,4,9,49
rgxrddnnbv7rkt,7,7,77
8ffmvpcsvfoureightqpnzzjksgchnine9jlgjqb,8,9,89
two9tfvjqsgqsixnine,2,9,29
bzn4two,4,2,42
sqlfeighteight6hjddxzcone2,8,2,82
3fivekmfnqlctddfivelcthnine,3,9,39
twodn8,2,8,28
one5six913lbrcc,1,3,13
foureightmppchbgz8lqbzqbjztwo7cksqxns,4,7,47
zvhzgfpkhkone93nine,1,9,19
,,,54807.00
